varied_parameter,parameter_value,base_case,model,found,number_of_roots,root,branch,B,delta,eta,Pbar,m_L,m_NL,E,P,tau,u,x,g,Z,A,residual_max,admissible,positive_growth,TVC,stability,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag,status
eta,1.005,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.005,1.0,0.5,2.0,0.5209724807333425,0.47902751926665754,0.2247928501287369,0.4741232436073314,0.011127584777993513,0.22551695559870735,0.4991203101037791,0.49912031010377916,5.551115123125783e-17,True,True,True,saddle,-1.4062190683473141,0.0,0.011127584777977928,0.0,1.417346653107282,0.0,solution
eta,1.0125,False,linear,True,1,1.0,-,0.45,0.01,1.0125,1.0,0.5,2.0,0.09887266344824497,0.901127336551755,0.24968714489934088,0.4996870469597355,0.01265605961565578,0.21248476925246326,0.4505636682758775,0.4505636682758775,1.9058078683886408e-17,True,True,True,saddle,-1.6118510041297471,0.0,0.012656059616203752,0.0,1.624507063734924,0.0,solution
eta,1.0125,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.0125,1.0,0.5,2.0,0.5239490115872095,0.4760509884127905,0.22491957718887026,0.47425686836235725,0.012797338385641217,0.223787070851298,0.4988528896879914,0.4988528896879914,4.955200538605147e-17,True,True,True,saddle,-1.4104370969559756,0.0,0.012797338385627244,0.0,1.4232344353443858,0.0,solution
eta,1.02,False,linear,True,1,1.0,-,0.45,0.01,1.02,1.0,0.5,2.0,0.10927392195164598,0.890726078048354,0.2525961357918688,0.5025894306408252,0.01419283835709076,0.20964191785453792,0.445363039024177,0.445363039024177,9.158054936012867e-17,True,True,True,saddle,-1.5429961490391264,0.0,0.014192838357804022,0.0,1.5571889873627638,0.0,solution
eta,1.02,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.02,1.0,0.5,2.0,0.5268390631813891,0.47316093681861093,0.22505881503411057,0.4744036414637967,0.014441536496888072,0.22207682484440341,0.4985593293750908,0.4985593293750908,1.1322029487540614e-17,True,True,True,saddle,-1.4145962645972345,0.0,0.014441536496856422,0.0,1.4290378010998528,0.0,solution
eta,1.0274999999999999,False,linear,True,1,1.0,-,0.45,0.01,1.0274999999999999,1.0,0.5,2.0,0.1191255022308485,0.8808744977691515,0.2553985276193293,0.5053696940056154,0.01568958641039463,0.20689405128707844,0.44043724888457575,0.44043724888457575,1.6747132056145905e-16,True,True,True,saddle,-1.4867227886758696,0.0,0.01568958641121196,0.0,1.5024123750532872,0.0,solution
eta,1.0274999999999999,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.0274999999999999,1.0,0.5,2.0,0.5296460917358741,0.47035390826412593,0.22520936841017775,0.47456229139089606,0.016060624471082856,0.22038634440301394,0.4982422184895761,0.4982422184895763,1.6653345369377348e-16,True,True,True,saddle,-1.4186958349610659,0.0,0.016060624471091467,0.0,1.4347564594363038,0.0,solution
eta,1.035,False,linear,True,1,1.0,-,0.45,0.01,1.035,1.0,0.5,2.0,0.12847379724691277,0.8715262027530872,0.25810110156109134,0.5080365159721212,0.01714823659269476,0.2042353312198507,0.4357631013765436,0.4357631013765436,1.844664245020417e-16,True,True,True,saddle,-1.439784274110977,0.0,0.017148236593667848,0.0,1.4569325106825275,0.0,solution
eta,1.035,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.035,1.0,0.5,2.0,0.5323733946395902,0.4676266053604098,0.22537014438490577,0.4747316551325662,0.017655049692427115,0.21871570549791808,0.4979039266390188,0.4979039266390187,5.551115123125783e-17,True,True,True,saddle,-1.422735321339335,0.0,0.017655049692460345,0.0,1.4403903710356427,0.0,solution
eta,1.0425,False,linear,True,1,1.0,-,0.45,0.01,1.0425,1.0,0.5,2.0,0.13735981145065124,0.8626401885493488,0.26070999606567397,0.5105976851354439,0.018570570044877343,0.2016604716441729,0.4313200942746744,0.4313200942746744,2.1979823879011559e-16,True,True,True,saddle,-1.3999816697436902,0.0,0.018570570045805902,0.0,1.4185522397441186,0.0,solution
