varied_parameter,parameter_value,base_case,model,found,number_of_roots,root,branch,B,delta,eta,Pbar,m_L,m_NL,E,P,tau,u,x,g,Z,A,residual_max,admissible,positive_growth,TVC,stability,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag,status
m,0.08891397050194613,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.08891397050194613,0.35565588200778453,0.5662685737876122,0.4337314262123878,0.7013053111260609,0.8374397358174861,0.03105070629404374,0.04210141258808751,0.08735209920594718,0.08735209920594714,4.163336342344337e-17,True,True,True,saddle,-0.47092235562557694,0.0,0.03105070629422821,0.0,0.5019730619221535,0.0,solution
m,0.09098504293049917,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.09098504293049917,0.36394017172199666,0.287122389780629,0.712877610219371,0.7639144031112339,0.8740219694671489,0.025563371246594326,0.031126742493188652,0.06486119997000112,0.06486119997000113,3.66738333110568e-13,True,True,True,saddle,-0.3566656221914416,0.0,0.02556337124702738,0.0,0.38222899344932487,0.0,solution
m,0.09098504293049917,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.09098504293049917,0.36394017172199666,0.5665169258236472,0.4334830741763528,0.696055294127692,0.8342992833076701,0.03152177417051614,0.0430435483410323,0.08937478912354589,0.08937478912354581,8.326672684688674e-17,True,True,True,saddle,-0.47731745938714376,0.0,0.03152177417053681,0.0,0.5088392335609139,0.0,solution
m,0.09310435683314336,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.09310435683314336,0.37241742733257344,0.2870139580805504,0.7129860419194496,0.7594210960368808,0.87144770126318,0.025949511477189657,0.03189902295437932,0.06638210686391895,0.06638210686391895,4.1829627680655954e-13,True,True,True,saddle,-0.3614365922473763,0.0,0.025949511477683755,0.0,0.38738610373055893,0.0,solution
m,0.09310435683314336,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.09310435683314336,0.37241742733257344,0.5667761553442071,0.4332238446557929,0.6907459933485633,0.8311113002171029,0.03199997163410125,0.043999943268202474,0.0914437270705512,0.09144372707055126,5.551115123125783e-17,True,True,True,saddle,-0.48382512564786884,0.0,0.03199997163395432,0.0,0.5158250972823273,0.0,solution
m,0.09527303589816236,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.09527303589816236,0.3810921435926494,0.28693519501718967,0.7130648049828103,0.7548715961833065,0.8688334686136961,0.026341646374612244,0.03268329274922449,0.06793584876284342,0.06793584876284343,4.769253821027297e-13,True,True,True,saddle,-0.3662697639233594,0.0,0.026341646374928536,0.0,0.39261141031940494,0.0,solution
m,0.09527303589816236,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.09527303589816236,0.3810921435926494,0.5670463165897165,0.4329536834102835,0.6853779559260638,0.827875567900191,0.03248533148163802,0.04497066296327604,0.09355994722899245,0.09355994722899248,4.1850731298180297e-16,True,True,True,saddle,-0.4904479513950811,0.0,0.032485331481596574,0.0,0.5229332828795704,0.0,solution
m,0.09749222998790226,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.09749222998790226,0.38996891995160904,0.28688599962133665,0.7131140003786633,0.7502661373049953,0.8661790446004771,0.0267398099765951,0.033479619953190196,0.06952307413250966,0.06952307413250966,5.43914257337625e-13,True,True,True,saddle,-0.371166174562686,0.0,0.026739809976460607,0.0,0.3979059845609818,0.0,solution
m,0.09749222998790226,False,nonlinear,True,1,1,upper,0.45,0.01,1.5,1.0,0.09749222998790226,0.38996891995160904,0.5673274658309984,0.43267253416900164,0.6799517803259854,0.8245918871332566,0.032977883596678186,0.04595576719335636,0.09572450568784051,0.09572450568784048,8.02079254787324e-17,True,True,True,saddle,-0.49718860693706035,0.0,0.032977883596664204,0.0,0.5301664905353551,0.0,solution
m,0.09976311574844397,False,linear,True,1,1,-,0.45,0.01,1.5,1.0,0.09976311574844397,0.3990524629937759,0.28686627714384727,0.7131337228561527,0.7456049911426677,0.8634842159198207,0.027144034278693562,0.03428806855738712,0.07114444213741714,0.07114444213741714,6.193120506858653e-13,True,True,True,saddle,-0.37612688993889715,0.0,0.027144034278509508,0.0,0.403270924221439,0.0,solution
