Pbar,mNL,n_points,E_roots,x_roots,tau_roots
281.0,0.056,3,14.8186207149; 36.5481975188; 79.5572241126,0.1020585838; 0.1264043345; 0.1381422480,0.1325352319; 0.0407026111; 0.0152512927
281.0,0.0565,3,16.2225888603; 30.8447235229; 84.8372942741,0.1052835405; 0.1229408103; 0.1388854927,0.1173433626; 0.0505525950; 0.0140520065
281.0,0.057,3,19.1346679604; 24.4959824106; 89.2394566358,0.1106357770; 0.1175260674; 0.1394527263,0.0941707912; 0.0680882895; 0.0131697663
282.0,0.0555,3,13.8702550323; 42.8061387156; 73.9758322944,0.0995569924; 0.1292845833; 0.1372625268,0.1449562176; 0.0333234883; 0.0167342508
282.0,0.056,3,14.8582271317; 36.0786515155; 80.7133551958,0.1021529504; 0.1261501510; 0.1383056119,0.1320775672; 0.0413892325; 0.0149834815
282.0,0.0565,3,16.2903255004; 30.4743660030; 85.8680848004,0.1054229375; 0.1226742148; 0.1390162233,0.1167075456; 0.0513549681; 0.0138461401
282.0,0.057,3,19.4152066010; 23.9843808843; 90.2006352388,0.1110731825; 0.1169802929; 0.1395646126,0.0923895910; 0.0700003672; 0.0129991223
283.0,0.055,3,13.1288100901; 53.5903594104; 63.6418169267,0.0973826036; 0.1328933813; 0.1353271310,0.1562044501; 0.0251186266; 0.0202389236
283.0,0.0555,3,13.8980503140; 42.0996807900; 75.3791516498,0.0996305866; 0.1289907633; 0.1374863084,0.1445828636; 0.0340424722; 0.0163504952
283.0,0.056,3,14.8982096534; 35.6305323309; 81.8481563921,0.1022478152; 0.1259022662; 0.1384621729,0.1316182842; 0.0420643706; 0.0147290486
283.0,0.0565,3,16.3596421589; 30.1136764141; 86.8880972473,0.1055646334; 0.1224092536; 0.1391430151,0.1160630137; 0.0521586822; 0.0136479273
283.0,0.057,3,19.7625672694; 23.4129108871; 91.1553270361,0.1116006448; 0.1163471750; 0.1396737799,0.0902642813; 0.0722516180; 0.0128336978
284.0,0.055,3,13.1498920933; 51.3596861509; 66.5745004214,0.0974434698; 0.1322449885; 0.1359182219,0.1558838686; 0.0265074828; 0.0191332427
284.0,0.0555,3,13.9259671489; 41.4475298496; 76.7285162402,0.0997042753; 0.1287119803; 0.1376949525,0.1442095127; 0.0347317550; 0.0159967084
284.0,0.056,3,14.9385810337; 35.2016793850; 82.9637730649,0.1023431996; 0.1256600255; 0.1386125644,0.1311572924; 0.0427294131; 0.0144866938
284.0,0.0565,3,16.4306437206; 29.7617678474; 87.8981111918,0.1057087844; 0.1221455156; 0.1392661226,0.1154091453; 0.0529648830; 0.0134568416
284.0,0.057,3,20.2474084004; 22.7105346972; 92.1039088831,0.1123119412; 0.1155328000; 0.1397803645,0.0874374076; 0.0751997774; 0.0126732089
285.0,0.055,3,13.1710080978; 49.7899254862; 68.8467118699,0.0975042864; 0.1317592422; 0.1363467098,0.1555638773; 0.0275724354; 0.0183511398
285.0,0.0555,3,13.9540086280; 40.8409242027; 78.0326822092,0.0997780646; 0.1284458797; 0.1378908074,0.1438361353; 0.0353961252; 0.0156681285
285.0,0.056,3,14.9793546371; 34.7902494884; 84.0620325980,0.1024391257; 0.1254228657; 0.1387573273,0.1306944979; 0.0433855600; 0.0142553084
285.0,0.0565,3,16.5034462615; 29.4178239263; 88.8988245089,0.1058555633; 0.1218825996; 0.1393857744,0.1147452546; 0.0537747253; 0.0132724106
286.0,0.055,3,13.1921591353; 48.5337254608; 70.8057997442,0.0975650561; 0.1313513485; 0.1366973857,0.1552444609; 0.0284829038; 0.0177232080
286.0,0.0555,3,13.9821779245; 40.2731784777; 79.2983293198,0.0998519610; 0.1281906579; 0.1380756705,0.1434627016; 0.0360392479; 0.0153611173
286.0,0.056,3,15.0205444805; 34.3946550692; 85.1445061263,0.1025356168; 0.1251902966; 0.1388969284,0.1302298025; 0.0440338610; 0.0140339377
286.0,0.0565,3,16.5781787674; 29.0810857651; 89.8908646938,0.1060051615; 0.1216201079; 0.1395021767,0.1140705824; 0.0545893902; 0.0130942096
287.0,0.055,3,13.2133462512; 47.4700785463; 72.5727680968,0.0976257818; 0.1309916660; 0.1369998883,0.1549256041; 0.0292980294; 0.0171903187
287.0,0.0555,3,14.0104782966; 39.7390561868; 80.5306883865,0.0999259707; 0.1279448963; 0.1382509537,0.1430891812; 0.0366640041; 0.0150728215
287.0,0.056,3,15.0621652790; 34.0135169599; 86.2125557030,0.1026326974; 0.1249618879; 0.1390317737,0.1297631039; 0.0446752443; 0.0138217533
287.0,0.0565,3,16.6549852042; 28.7508405081; 90.8747982527,0.1061577923; 0.1213576404; 0.1396155163,0.1133842841; 0.0554101037; 0.0129218546
288.0,0.055,3,13.2345705044; 46.5398054237; 74.2067927780,0.0976864661; 0.1306656501; 0.1372687592,0.1546072913; 0.0300467938; 0.0167235028
288.0,0.0555,3,14.0389130919; 39.2343665603; 81.7339444374,0.1000001005; 0.1277074551; 0.1384177905,0.1427155432; 0.0372727082; 0.0148009548
288.0,0.056,3,15.1042324952; 33.6456277561; 87.2673708912,0.1027303928; 0.1247372583; 0.1391622191,0.1292942952; 0.0453105385; 0.0136180305
288.0,0.0565,3,16.7340270321; 28.4264109684; 91.8511385485,0.1063136940; 0.1210947888; 0.1397259632,0.1126854158; 0.0562381552; 0.0127549971
289.0,0.055,3,13.2558329684; 45.7087417324; 75.7420346858,0.0977471120; 0.1303648764; 0.1375124202,0.1542895074; 0.0307459632; 0.0163060070
289.0,0.0555,3,14.0674857505; 38.7556948739; 82.9115063832,0.1000743570; 0.1274774011; 0.1385771071,0.1423417563; 0.0378672543; 0.0145436518
289.0,0.056,3,15.1467623943; 33.2899229883; 88.3099975370,0.1028287297; 0.1245160673; 0.1392885783,0.1288232645; 0.0459404907; 0.0134221314
