varied_parameter,parameter_value,base_case,model,found,number_of_roots,root,branch,B,delta,eta,Pbar,m_L,m_NL,E,P,tau,u,x,g,Z,A,residual_max,admissible,positive_growth,TVC,stability,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag,status
delta,0.0029,False,nonlinear,True,1,1,upper,0.45,0.0029,1.5,1.0,0.5,2.0,0.6152062486792775,0.38479375132072247,0.23746166861874793,0.4873003884861451,0.07883827506041158,0.15187655012082313,0.473455040530497,0.4734550405304969,6.590885299161074e-17,True,True,True,saddle,-1.5732276800587255,0.0,0.07883827506087397,0.0,1.6520659550801402,0.0,solution
delta,0.002995,False,linear,True,1,1,-,0.45,0.002995,1.5,1.0,0.5,2.0,0.34457333390691547,0.6554266660930845,0.3348003771129091,0.5786193715327107,0.06520376093676006,0.12441752187352012,0.32771333304654227,0.32771333304654227,7.43406174647874e-17,True,True,True,saddle,-1.0104198519069512,0.0,0.06520376093739697,0.0,1.075623612880342,0.0,solution
delta,0.002995,False,nonlinear,True,1,1,upper,0.45,0.002995,1.5,1.0,0.5,2.0,0.6152720006699709,0.3847279993300291,0.2374772568910744,0.48731638274438754,0.07889920925500854,0.15180841851001706,0.4734247317230845,0.47342473172308447,6.591317960632348e-17,True,True,True,saddle,-1.5733395573637146,0.0,0.07889920925455805,0.0,1.6522387666267537,0.0,solution
delta,0.00309,False,linear,True,1,1,-,0.45,0.00309,1.5,1.0,0.5,2.0,0.3447470495265421,0.6552529504734579,0.33487517305278247,0.5786840010340553,0.0652573998448917,0.1243347996897834,0.32762647523672894,0.32762647523672894,1.8589306374926644e-17,True,True,True,saddle,-1.010190843113094,0.0,0.06525739984455972,0.0,1.0754482429768961,0.0,solution
delta,0.00309,False,nonlinear,True,1,1,upper,0.45,0.00309,1.5,1.0,0.5,2.0,0.6153377256744468,0.3846622743255532,0.23749284918968716,0.48733238060864287,0.07896014290870357,0.15174028581740712,0.473394418072492,0.4733944180724921,1.1102230246251565e-16,True,True,True,saddle,-1.5734513908819043,0.0,0.07896014290891845,0.0,1.652411533741248,0.0,solution
delta,0.003185,False,linear,True,1,1,-,0.45,0.003185,1.5,1.0,0.5,2.0,0.3449206706397213,0.6550793293602787,0.3349499533484267,0.5787486098025867,0.06531104186294533,0.12425208372589068,0.32753966468013934,0.32753966468013934,4.1835279409261356e-17,True,True,True,saddle,-1.0099621394349672,0.0,0.0653110418640313,0.0,1.075273181255163,0.0,solution
delta,0.003185,False,nonlinear,True,1,1,upper,0.45,0.003185,1.5,1.0,0.5,2.0,0.6154034237108957,0.38459657628910426,0.23750844550889416,0.4873483820727162,0.0790210760224259,0.1516721520448518,0.47336409959160697,0.4733640995916069,5.551115123125783e-17,True,True,True,saddle,-1.5735631805970907,0.0,0.07902107602231974,0.0,1.652584256609359,0.0,solution
delta,0.00328,False,linear,True,1,1,-,0.45,0.00328,1.5,1.0,0.5,2.0,0.34509419732658675,0.6549058026734133,0.3350247180046588,0.5788131978494088,0.06536468698925536,0.1241693739785107,0.3274529013367066,0.3274529013367066,6.974102920262295e-17,True,True,True,saddle,-1.0097337402171362,0.0,0.06536468699040289,0.0,1.0750984271970867,0.0,solution
delta,0.00328,False,nonlinear,True,1,1,upper,0.45,0.00328,1.5,1.0,0.5,2.0,0.6154690947974909,0.3845309052025091,0.23752404584301143,0.4873643871304216,0.07908200859710345,0.15160401719420685,0.47333377629329604,0.4733337762932961,5.551115123125783e-17,True,True,True,saddle,-1.5736749265717813,0.0,0.07908200859758488,0.0,1.6527569351489808,0.0,solution
delta,0.003375,False,linear,True,1,1,-,0.45,0.003375,1.5,1.0,0.5,2.0,0.34526762966717783,0.6547323703328222,0.33509946702629345,0.5788777651856163,0.06541833522215756,0.12408667044431514,0.3273661851664111,0.3273661851664111,7.440702876644189e-17,True,True,True,saddle,-1.0095056448203852,0.0,0.06541833522312397,0.0,1.0749239800177706,0.0,solution
delta,0.003375,False,nonlinear,True,1,1,upper,0.45,0.003375,1.5,1.0,0.5,2.0,0.6155347389523879,0.38446526104761214,0.2375396501863627,0.48738039577558173,0.07914294063366274,0.15153588126732548,0.4733034481904072,0.4733034481904072,8.900617125317801e-17,True,True,True,saddle,-1.5737866288449907,0.0,0.07914294063359972,0.0,1.6529295694749602,0.0,solution
delta,0.00347,False,linear,True,1,1,-,0.45,0.00347,1.5,1.0,0.5,2.0,0.34544096774143973,0.6545590322585603,0.33517420041814305,0.5789423118222946,0.06547198655998915,0.1240039731199783,0.32727951612928013,0.32727951612928013,9.30295286411373e-17,True,True,True,saddle,-1.0092778526683892,0.0,0.06547198656093785,0.0,1.0747498392001096,0.0,solution
delta,0.00347,False,nonlinear,True,1,1,upper,0.45,0.00347,1.5,1.0,0.5,2.0,0.6156003561937253,0.38439964380627467,0.23755525853328,0.48739640800202866,0.07920387213302904,0.15146774426605808,0.47327311529576754,0.47327311529576765,1.3186965882221457e-16,True,True,True,saddle,-1.5738982874035448,0.0,0.07920387213295267,0.0,1.6531021595275746,0.0,solution
delta,0.0035649999999999996,False,linear,True,1,1,-,0.45,0.0035649999999999996,1.5,1.0,0.5,2.0,0.3456142116292241,0.6543857883707759,0.3352489181850175,0.5790068377705202,0.06552564100108864,0.12392128200217727,0.32719289418538794,0.32719289418538794,1.3957540048113066e-17,True,True,True,saddle,-1.0090503631318408,0.0,0.0655256410008547,0.0,1.074576004101296,0.0,solution
delta,0.0035649999999999996,False,nonlinear,True,1,1,upper,0.45,0.0035649999999999996,1.5,1.0,0.5,2.0,0.6156659465396247,0.3843340534603753,0.23757087087810283,0.4874124238036027,0.07926480309612624,0.1513996061922525,0.4732427776221854,0.47324277762218536,5.551115123125783e-17,True,True,True,saddle,-1.574009902331733,0.0,0.07926480309626326,0.0,1.6532747054110826,0.0,solution
delta,0.0036599999999999996,False,linear,True,1,1,-,0.45,0.0036599999999999996,1.5,1.0,0.5,2.0,0.3457873614102892,0.6542126385897108,0.33532362033172464,0.5790713430413602,0.06557929854379597,0.12383859708759194,0.3271063192948554,0.3271063192948554,3.2574850349382687e-17,True,True,True,saddle,-1.0088231755471018,0.0,0.0655792985447534,0.0,1.0744024740578357,0.0,solution
delta,0.0036599999999999996,False,nonlinear,True,1,1,upper,0.45,0.0036599999999999996,1.5,1.0,0.5,2.0,0.6157315100081898,0.3842684899918102,0.237586487215179,0.4874284431741535,0.07932573352387697,0.15133146704775394,0.4732124351824485,0.47321243518244854,5.551115123125783e-17,True,True,True,saddle,-1.5741214736128402,0.0,0.07932573352391661,0.0,1.6534472071157915,0.0,solution
delta,0.0037549999999999997,False,linear,True,1,1,-,0.45,0.0037549999999999997,1.5,1.0,0.5,2.0,0.34596041716429926,0.6540395828357007,0.33539830686306976,0.5791358276458726,0.06563295918645244,0.1237559183729049,0.32701979141785037,0.32701979141785037,6.050962493869698e-17,True,True,True,saddle,-1.00859628937637,0.0,0.06563295918595458,0.0,1.074229248540564,0.0,solution
delta,0.0037549999999999997,False,nonlinear,True,1,1,upper,0.45,0.0037549999999999997,1.5,1.0,0.5,2.0,0.6157970466175076,0.38420295338249244,0.23760210753886385,0.4874444661075391,0.07938666341720245,0.15126332683440494,0.47318208798932565,0.47318208798932554,1.6157218992457933e-16,True,True,True,saddle,-1.5742330012704437,0.0,0.07938666341735703,0.0,1.653619664659432,0.0,solution
delta,0.0038499999999999997,False,linear,True,1,1,-,0.45,0.0038499999999999997,1.5,1.0,0.5,2.0,0.34613337897082563,0.6538666210291744,0.33547297778385593,0.5792002915951061,0.06568662292740075,0.12367324585480151,0.3269333105145872,0.3269333105145872,1.396686840282002e-17,True,True,True,saddle,-1.0083697039164026,0.0,0.06568662292577733,0.0,1.0740563268836865,0.0,solution
delta,0.0038499999999999997,False,nonlinear,True,1,1,upper,0.45,0.0038499999999999997,1.5,1.0,0.5,2.0,0.615862556385648,0.384137443614352,0.23761773184352092,0.48746049259762675,0.07944759277702267,0.15119518555404535,0.4731517360555649,0.47315173605556504,1.6653345369377348e-16,True,True,True,saddle,-1.5743444853105186,0.0,0.07944759277727133,0.0,1.653792078069272,0.0,solution
delta,0.003945,False,linear,True,1,1,-,0.45,0.003945,1.5,1.0,0.5,2.0,0.34630624690934586,0.6536937530906541,0.33554763309888375,0.5792647349001006,0.06574028976498493,0.12359057952996984,0.32684687654532707,0.32684687654532707,1.0710315358589581e-16,True,True,True,saddle,-1.0081434185981604,0.0,0.06574028976516763,0.0,1.0738837083893635,0.0,solution
delta,0.003945,False,nonlinear,True,1,1,upper,0.45,0.003945,1.5,1.0,0.5,2.0,0.6159280393306633,0.3840719606693367,0.23763336012352115,0.48747652263829194,0.07950852160425621,0.15112704320851242,0.4731213793938963,0.47312137939389637,5.551115123125783e-17,True,True,True,saddle,-1.5744559258937922,0.0,0.0795085216043435,0.0,1.6539644474850033,0.0,solution
